Form title,Behavioral & Emotional Red Flags Pre consultation Form,,,,,,,,
Purpose of Screening Tool,"The purpose of this screening tool is to help identify red flags in children with Behavioral & Emotional Problems. The screening tool is not a diagnostic test, but a way to be alerted to the presence of a redflag and decide on the appropriate course of action.",,,,,,,,
Usage,To be used as and when sent by your doctor,,,,,,,,
Condition,Sr No,Question,Options,Red Flag Trigger,Answer for patient,At a glance information ,Reference,Specialized service Recommended (Y/N),"If Specialized service Recommended, 
Specialized services(Eg. Dietary assesment, BND, EmoScreen Assessment etc)/ Speciaist referal"
,6,Is your child disobedient and does not follow rules?,Yes,Yes, Disobedient and does not follow rules,"Persistent disobedience and refusal to follow rules might suggest Oppositional Defiant Disorder (ODD) or Conduct Disorder, especially if these behaviors are pervasive across settings and associated with hostility towards authority figures. It's important to differentiate these disorders from normal developmental phases and to assess for co-occurring conditions such as ADHD, which can complicate compliance. A thorough behavioral assessment, potentially including school observations and psychological testing, is necessary. Management may involve parent management training, psychotherapy, and, if applicable, treatment of any co-existing mental health disorders.                     ","Article 1 Link                            https://www.ncbi.nlm.nih.gov/books/NBK470238/#:~:text=Conduct-,Disorder,-Leena%20Mohan%3B. 
                                                            Article 2 Link https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5856866/#:~:text=Boys%20with-,Oppositional,-Defiant%20Disorder/Conduct",Y,EmoScreen assesment
,,,No,,,,,N,
,7,Is your child fidgety & unable to sit still ?,Yes,Yes, Unable to sit still (Fidgety),"A child who is unable to sit still and appears fidgety may be displaying signs of ADHD, particularly the hyperactive-impulsive presentation. This behavior can hinder the child's academic achievement and social interactions. Distinguishing between normal energy levels and those symptomatic of ADHD requires a detailed history of symptoms across different settings, along with input from educators and caregivers. Standardized ADHD rating scales and possibly a neuropsychological evaluation are essential for accurate diagnosis. Treatment strategies may include behavioral interventions, educational accommodations, and possibly medication.                                                                                        ","Article Link https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4246670/#:~:text=PMID%3A%2025506329-,Hyperactivity,-and%20Motoric%20Activity",Y,EmoScreen assesment
,,,No,,,,,N,
,8,Does your child act younger than children at his or her age?,Yes,Yes,Acts younger than children at his or her age,"Acting significantly younger than their peers can be a red flag for developmental delays or emotional disorders. It might indicate issues with social or emotional development, potentially stemming from autism spectrum disorder, cognitive impairments, or attachment issues. A thorough developmental history, observational assessments, and possibly psychological or educational testing will help clarify the nature of the delays. Intervention plans should be tailored to the child's specific needs, potentially involving speech and language therapy, occupational therapy, or psychotherapeutic interventions to support emotional and social development.                                                                                        ","Article Link https://www.researchgate.net/publication/341041723_SOCIAL_AND_EMOTIONAL_MATURITY_OF_CHILDREN_WITH_BEHAVIOURAL_PROBLEMS#:~:text=full%2Dtext%20PDF-,Download%20citation,-Copy%20link",Y,EmoScreen assesment
,,,No,,,,,N,
,9,"Does your child use screens excessively and is resistant to be away from it? (Example: Screens refers to Tv, mobile, laptop etc.)",Yes,Yes,"Uses screens (Screens refers to TV, mobile, laptop etc.) excessively and is resistant to be away from it","Excessive screen use and resistance to disengage from screens can indicate underlying behavioral or emotional issues, including screen addiction, poor impulse control, or using screens as a coping mechanism for stress or undiagnosed mental health disorders such as depression or anxiety. This behavior can also impact physical health, sleep patterns, and social skills development. A comprehensive evaluation to explore these potential issues, including the child's overall emotional well-being, family dynamics, and any stressors, is crucial. The assessment should also include a screen time inventory to understand the extent and content of use. Intervention might involve setting structured screen time limits, promoting alternative activities to encourage a balanced lifestyle, and, if necessary, therapy to address underlying emotional or behavioral concerns.                                                       ","Article Link https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9958787/#:~:text=Children%20Aged%203-,%E2%80%93,-15%20Years%20and",Y,EmoScreen assesment
,,,No,,,,,N,
,10,Are your child's school grades dropping?,Yes,Yes,School grades is dropping,"A decline in school grades can be a significant indicator of various underlying issues, such as learning disabilities, attention deficit hyperactivity disorder (ADHD), emotional distress (e.g., anxiety, depression), or social issues (e.g., bullying). It's essential to conduct a thorough educational and psychological assessment to identify the root cause of the academic decline. This assessment should include a review of the child's academic records, interviews with teachers and parents, and standardized testing to evaluate cognitive abilities, learning styles, and any areas of difficulty. Based on the findings, a tailored intervention plan may be developed, potentially including educational support services, counseling, or treatment for any identified mental health conditions.                                                                        "," Article Link https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8068628/#:~:text=selection%20and%20causation-,effects,-from%20childhood%20to",Y,EmoScreen assesment
,,,No,,,,,N,
